key	text	tooltip
#Loc;1;text/totowar_cost_based_army_caps.loc		
totowar_cbac_mct_option_caption_aiArmyAgentMaximumAmount	Maximum [[col:totowar_cbac_unit_category_agent]]agents[[/col]] amount	false
totowar_cbac_mct_option_caption_aiArmyArtilleryMaximumPercentage	Maximum [[col:totowar_cbac_unit_category_artillery]]artillery[[/col]] units percentage	false
totowar_cbac_mct_option_caption_aiArmyCavalryAndMonstersMaximumPercentage	Maximum [[col:totowar_cbac_unit_category_cavalryAndMonsters]]cavalry & monster[[/col]] units percentage	false
totowar_cbac_mct_option_caption_aiArmyDisposableUnitsAmount	Number of units the AI can disband	false
totowar_cbac_mct_option_caption_aiArmyMeleeInfantryMaximumPercentage	Maximum [[col:totowar_cbac_unit_category_meleeInfantry]]melee infantry[[/col]] units percentage	false
totowar_cbac_mct_option_caption_aiArmyRangedInfantryMaximumPercentage	Maximum [[col:totowar_cbac_unit_category_rangedInfantry]]ranged infantry[[/col]] units percentage	false
totowar_cbac_mct_option_caption_aiArmySupplies	Army supplies for AI faction armies	false
totowar_cbac_mct_option_caption_aiArmySuppliesEnabled	Army supplies restrictions for AI faction armies	false
totowar_cbac_mct_option_caption_aiManagerLoggerEnabled	Log AI restrictions code	false
totowar_cbac_mct_option_caption_playerArmySupplies	Army supplies for player armies	false
totowar_cbac_mct_option_caption_playerArmySuppliesEnabled	Army supplies restrictions for player armies	false
totowar_cbac_mct_option_caption_playerManagerLoggerEnabled	Log player restrictions code	false
totowar_cbac_mct_option_caption_uiManagerLoggerEnabled	Log UI utility code	false
totowar_cbac_mct_option_tooltip_aiArmyAgentMaximumAmount	Maximum amount of agents an AI faction army will contain when limited by [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]].\\n\\n[[col:white]]2[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmyArtilleryMaximumPercentage	Maximum percentage of artillery units an AI faction army will contain when limited by [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]].\\nThe percentage does not take the general and agents into consideration.\\n\\n[[col:white]]20[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmyCavalryAndMonstersMaximumPercentage	Maximum percentage of cavalry and monster units an AI faction army will contain when limited by [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]].\\nThe percentage does not take the general and agents into consideration.\\n\\n[[col:white]]50[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmyDisposableUnitsAmount	Number of units an AI faction can disband to allow the recruitment of a new unit that would make the army's total [[col:white]][[img:icon_merc]][[/img]]Army Supplies[[/col]] cost exceed the limit.\\n\\n[[col:white]]2[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmyMeleeInfantryMaximumPercentage	Maximum percentage of melee infantry units an AI faction army will contain when limited by [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]].\\nThe percentage does not take the general and agents into consideration.\\n\\n[[col:white]]60[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmyRangedInfantryMaximumPercentage	Maximum percentage of ranged infantry units an AI faction army will contain when limited by [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]].\\nThe percentage does not take the general and agents into consideration.\\n\\n[[col:white]]50[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmySupplies	Amount of [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]] available for recruiting units in AI faction armies.\\n\\nA unit's army supplies cost is the same as its cost in a skirmish battle.\\n\\n[[col:white]]12400[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiArmySuppliesEnabled	Enables army supplies restrictions for AI faction armies.\\n\\nWhen an AI faction recruits a new unit, if the combined supply cost of the army's units exceeds the limit, the AI automatically disbands some of its cheapest units to stay within the cap.\\nThe AI faction is then reimbursed for the cost of the disbanded units.\\n\\n[[col:white]]Checked[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_aiManagerLoggerEnabled	Enables logs for the code that applies restrictions to the AI.\\n\\nLogs are stored in the [[col:white]]totowar_logs.txt[[/col]] file in your game folder.\\nUseful when you need to report a bug in order to be able to figure out what is happening.\\n\\n[[col:white]]Checked[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_playerArmySupplies	Amount of [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]] available for recruiting units in a player's armies.\\n\\nA unit's army supplies cost is identical to its cost in a skirmish battle.\\n\\n[[col:white]]12400[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_playerArmySuppliesEnabled	Enables army supplies restrictions for player armies.\\n\\nIf the combined army supplies cost of an army's units exceeds the limit, the army becomes immobilized until units are either disbanded or transferred to another army.\\n\\n[[col:white]]Checked[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_playerManagerLoggerEnabled	Enables logs for the code that applies restrictions to the player.\\n\\nLogs are stored in the [[col:white]]totowar_logs.txt[[/col]] file in your game folder.\\nUseful when you need to report a bug in order to be able to figure out what is happening.\\n\\n[[col:white]]Checked[[/col]] by default.	true
totowar_cbac_mct_option_tooltip_uiManagerLoggerEnabled	Enables logs for code that updates the UI to display army supplies.\\n\\nLogs are stored in the [[col:white]]totowar_logs.txt[[/col]] file in your game folder.\\nUseful when you need to report a bug in order to be able to figure out what is happening.\\n\\n[[col:white]]Checked[[/col]] by default.	true
totowar_cbac_mct_section_title_ai	Cost-Based Army Caps - AI factions	false
totowar_cbac_mct_section_title_logs	Cost-Based Army Caps - Logs	false
totowar_cbac_mct_section_title_player	Cost-Based Army Caps - Player	false
totowar_cbac_tooltip_armySuppliesCost	Army supplies||Amount of supplies the army can provide to sustain additional recruited units.|| ||Total army supplies: [[col:white]][[img:icon_merc]][[/img]]%s[[/col]]||Consumed by units: [[col:white]][[img:icon_merc]][[/img]]%s[[/col]]||Available for recruitment: [[img:icon_merc]][[/img]]%s%s||%s	true
totowar_cbac_tooltip_unit_armySuppliesCost	Army supplies||This unit consumes this amount of [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]].	true
totowar_cbac_tooltip_unit_armySuppliesCostDepleted	Insufficient [[col:white]][[img:icon_merc]][[/img]]Army supplies[[/col]] to sustain all recruited units.||The army cannot march until a unit is dismissed or transferred to another army.	false
totowar_cbac_tooltip_unit_armySuppliesCostOfAgent	[[col:white]]%s[[/col]] | [[col:totowar_cbac_unit_category_agent]]%s[[/col]]: [[col:white]][[img:icon_merc]][[/img]]%s[[/col]]	true
totowar_cbac_tooltip_unit_armySuppliesCostOfGeneral	[[col:white]]%s[[/col]] | [[col:totowar_cbac_unit_category_general]]%s[[/col]]: [[col:white]][[img:icon_merc]][[/img]]%s[[/col]]	true
totowar_cbac_tooltip_unit_armySuppliesCostOfUnit	[[col:%s]]%s[[/col]]: [[col:white]][[img:icon_merc]][[/img]]%s[[/col]]	true
totowar_cbac_tooltip_unit_armySuppliesCostOfUnit_multiple	[[col:%s]]%s[[/col]] x [[col:white]]%s[[/col]]: [[col:white]][[img:icon_merc]][[/img]]%s[[/col]] x [[col:white]]%s[[/col]] = [[col:white]][[img:icon_merc]][[/img]]%s[[/col]]	true
